IDImp;nr articolo;budget/consuntivo;Nr. Ordine di produzione;Descrizione;Nr. Area di produzione;Risorsa;Tempo risorsa;Quantità di output
4145;ART0004659;CONSUNTIVO;ODP18-05955;Fresatura;A30;RIS5;0.75;4
4146;ART0004836;CONSUNTIVO;ODP18-05950;Fresatura;A30;RIS9;2.5;0
4147;ART0001190;CONSUNTIVO;ODP18-06012;Tornitura;A20;RIS2;1;6
4148;ART0001917;CONSUNTIVO;ODP18-06048;Tornitura;A20;RIS11;8.5;0
4149;ART0001492;CONSUNTIVO;ODP18-06012;Tornitura;A20;RIS2;0.5;3
4150;ART0004169;CONSUNTIVO;ODP18-06111;Tornitura;A20;RIS14;3;10
4151;ART0004169;CONSUNTIVO;ODP18-06111;Tornitura;A20;RIS14;3;0
4152;ART0004836;CONSUNTIVO;ODP18-05950;Fresatura;A30;RIS9;3.5;10
4153;ART0002144;CONSUNTIVO;ODP18-06118;Tornitura;A20;RIS2;1;2
4154;ART0002132;CONSUNTIVO;ODP18-06118;Tornitura;A20;RIS2;1;2
4155;ART0002238;CONSUNTIVO;ODP18-06118;Tornitura;A20;RIS2;1.25;2
4156;ART0001110;CONSUNTIVO;ODP18-06105;Tornitura;A20;RIS2;1.75;5
4157;ART0001917;CONSUNTIVO;ODP18-06048;Tornitura;A20;RIS11;8;0
4158;ART0001110;CONSUNTIVO;ODP18-06105;Tornitura;A20;RIS2;1.5;0
4159;ART0001917;CONSUNTIVO;ODP18-06048;Tornitura;A20;RIS11;1.5;65
4160;ART0005136;CONSUNTIVO;ODP18-06158;Fresatura;A30;RIS9;1.5;4
4161;ART0005136;CONSUNTIVO;ODP18-06158;Brocciatura / stozzatrice;A33;RIS1;1.5;4
4162;ART0005136;CONSUNTIVO;ODP18-06158;Controllo qualità;CQ;RIS16;0;4
4163;ART0002132;CONSUNTIVO;ODP18-06118;Fresatura;A30;RIS9;0.5;2
4164;ART0002144;CONSUNTIVO;ODP18-06118;Fresatura;A30;RIS9;0.5;2
4165;ART0001612;CONSUNTIVO;ODP18-06051;Controllo qualità;CQ;RIS16;0;8
